subjID	trial	choice	gain	loss
0	0	1	1	0
0	1	2	0	0
0	2	1	0	0
0	3	3	0	0
0	4	3	0	0
0	5	1	0	0
0	6	1	1	0
0	7	1	0	0
0	8	2	0	0
0	9	2	0	0
0	10	3	0	0
0	11	3	1	0
0	12	3	0	0
0	13	2	0	0
0	14	2	1	0
0	15	1	0	-1
0	16	2	0	0
0	17	2	1	-1
0	18	3	0	0
0	19	2	0	0
0	20	3	0	-1
0	21	1	0	0
0	22	1	0	-1
0	23	2	0	0
0	24	2	0	0
0	25	1	0	0
0	26	2	0	0
0	27	2	1	0
0	28	1	0	-1
0	29	3	0	0
0	30	3	0	0
0	31	3	1	0
0	32	3	1	0
0	33	2	0	0
0	34	2	0	0
0	35	3	0	0
0	36	2	1	0
0	37	1	0	0
0	38	2	1	0
0	39	1	0	0
0	40	1	0	0
0	41	1	0	0
0	42	1	0	0
0	43	2	1	-1
0	44	1	0	0
0	45	1	1	0
0	46	3	0	0
0	47	1	0	0
0	48	1	0	0
0	49	3	0	0
0	50	1	0	0
0	51	1	0	0
0	52	3	0	0
0	53	3	0	0
0	54	2	0	0
0	55	2	0	0
0	56	2	0	-1
0	57	3	0	-1
0	58	1	0	-1
0	59	3	0	0
0	60	2	0	0
0	61	1	1	0
0	62	3	0	0
0	63	2	1	0
0	64	3	1	0
0	65	2	0	0
0	66	2	0	-1
0	67	3	1	0
0	68	3	1	0
0	69	1	0	-1
0	70	3	0	0
0	71	3	1	0
0	72	3	1	0
0	73	1	0	0
0	74	3	0	0
0	75	3	0	0
0	76	3	0	-1
0	77	2	0	0
0	78	1	0	-1
0	79	2	0	0
0	80	3	0	0
0	81	3	0	0
0	82	2	0	0
0	83	2	0	0
0	84	2	0	0
0	85	1	0	0
0	86	1	0	0
0	87	3	0	0
0	88	1	0	0
0	89	2	0	0
0	90	1	1	-1
0	91	3	0	0
0	92	3	1	0
0	93	2	0	0
0	94	2	0	0
0	95	3	0	0
0	96	2	0	0
0	97	2	0	0
0	98	1	0	0
0	99	1	1	0
0	100	3	0	0
0	101	3	0	0
0	102	3	0	0
0	103	2	0	-1
0	104	3	0	0
0	105	1	1	0
0	106	2	0	0
0	107	1	0	0
0	108	1	0	0
0	109	2	0	-1
0	110	1	0	0
0	111	1	0	0
0	112	1	0	0
0	113	3	0	-1
0	114	1	0	0
0	115	1	1	0
0	116	2	1	0
0	117	1	1	0
0	118	1	0	0
0	119	1	0	-1
0	120	2	0	0
0	121	3	0	0
0	122	3	1	0
0	123	2	0	0
0	124	3	1	0
0	125	2	0	-1
0	126	1	0	-1
0	127	3	0	0
0	128	3	1	0
0	129	2	0	0
0	130	3	0	0
0	131	2	0	0
0	132	2	0	0
0	133	2	0	-1
0	134	3	1	0
0	135	1	0	0
0	136	1	0	0
0	137	3	0	-1
0	138	1	1	0
0	139	3	0	0
0	140	2	0	0
0	141	3	0	0
0	142	1	1	0
0	143	2	1	0
0	144	2	0	0
0	145	3	0	0
0	146	2	0	0
0	147	2	0	0
0	148	1	0	0
0	149	3	0	0
0	150	1	0	0
0	151	3	0	0
0	152	2	1	0
0	153	3	1	0
0	154	1	0	0
0	155	2	0	0
0	156	2	1	0
0	157	1	1	-1
0	158	3	0	0
0	159	2	0	0
1	0	2	0	0
1	1	3	1	0
1	2	3	0	-1
1	3	1	0	0
1	4	1	1	0
1	5	1	0	0
1	6	3	1	0
1	7	2	0	0
1	8	2	0	0
1	9	2	0	0
1	10	2	0	0
1	11	2	0	0
1	12	1	0	0
1	13	1	0	0
1	14	1	0	0
1	15	3	1	0
1	16	1	0	0
1	17	1	0	-1
1	18	2	0	0
1	19	3	1	-1
1	20	2	0	0
1	21	2	0	0
1	22	1	0	-1
1	23	2	0	0
1	24	3	0	0
1	25	3	0	0
1	26	2	0	0
1	27	2	0	0
1	28	2	1	0
1	29	2	1	0
1	30	3	0	0
1	31	1	0	0
1	32	1	0	-1
1	33	3	1	0
1	34	2	0	0
1	35	3	1	-1
1	36	2	1	0
1	37	2	1	0
1	38	1	0	0
1	39	1	0	0
1	40	1	1	0
1	41	2	1	0
1	42	3	0	0
1	43	1	0	0
1	44	1	0	0
1	45	3	0	0
1	46	2	0	-1
1	47	1	0	0
1	48	3	0	0
1	49	1	0	0
1	50	2	0	0
1	51	1	0	0
1	52	3	0	0
1	53	2	0	-1
1	54	3	0	0
1	55	3	0	0
1	56	1	0	0
1	57	2	0	0
1	58	3	0	0
1	59	3	0	0
1	60	2	0	0
1	61	1	1	0
1	62	3	0	0
1	63	2	0	-1
1	64	3	0	0
1	65	1	1	0
1	66	3	0	0
1	67	2	0	0
1	68	3	1	0
1	69	1	0	0
1	70	1	0	0
1	71	1	0	0
1	72	2	0	0
1	73	2	1	0
1	74	1	1	-1
1	75	3	1	0
1	76	3	0	-1
1	77	2	0	0
1	78	1	0	0
1	79	2	0	-1
1	80	1	0	-1
1	81	2	0	0
1	82	3	0	0
1	83	3	0	0
1	84	2	0	0
1	85	3	0	-1
1	86	1	0	0
1	87	3	0	0
1	88	3	0	0
1	89	3	0	0
1	90	3	0	0
