mu_Arew,mu_Apun,mu_R,mu_P,mu_xi
0.4243891612325423,0.8962021736194855,10.776919360132547,15.036099494956646,0.11927202736443596
0.44070293194194954,0.7423754706216653,17.21526585950966,12.70434986185719,0.09094754213360663
0.3955814861031212,0.7960942131859836,11.262938803541179,11.867245655905878,0.11117009709611227
0.44884506095067167,0.8487039719778924,14.119576911172581,19.523434996776015,0.08994788343737631
0.3891255725990358,0.796264781247155,17.43532202206747,20.862657949243946,0.16276787840395307
0.40703239830186166,0.755201346341377,14.668231187774264,16.055241171644774,0.12416768756285045
0.4043865234604762,0.8039449803763155,13.271836547417601,20.716074821327634,0.13524588033937127
0.4332503713634598,0.8683603484106421,17.91513813857554,19.013645008562165,0.1542278989357833
0.43677112318275546,0.842548924741079,10.745314255717647,10.014682495333108,0.17706661438520627
0.3929980527884383,0.8675072064252979,13.110757905294058,29.122966944908985,0.12555005935193905
0.4004591080546332,0.91238816040808,13.923197885858828,29.528379952652422,0.1380148624494601
0.4220801694616789,0.8660645072490751,15.980383658250863,29.73956751658516,0.1482196619066298
0.555702927785459,0.8339784978512952,22.212602040754003,21.703349826375245,0.1696599346522902
0.3987118054759156,0.9239064788399933,10.44019385927826,29.964072869839633,0.166415749804723
0.4850680669881713,0.8242236193962751,15.148718808272248,15.17761996146311,0.11709009477552805
0.36401048068979064,0.864927617716542,10.63716890411807,22.82245835397777,0.16361227180908183
0.5089656802819869,0.8470200779777406,13.903309588456935,15.968684358190567,0.1383993583160468
0.5156547902973738,0.8327054792341715,14.563779243223035,18.766740758866778,0.1336936175690299
0.3234965793544946,0.7927613201747168,14.268221588718228,14.647292638503487,0.1678505257441847
0.5373397608616277,0.9134212032416552,14.519220125332875,23.585748159383588,0.1258435174538615
