subjID	group	trial	choice	rt	gain	loss
1	A	172	1	0.272	1	-1
1	A	173	1	0.305	1	0
1	A	174	1	0.055	1	0
1	A	175	1	0.241	0	0
1	A	176	1	0.338	1	-1
1	A	177	1	0.288	1	0
1	A	178	1	0.238	0	0
1	A	179	1	0.021	0	0
1	A	180	1	0.191	0	-1
1	A	181	3	0.424	1	0
1	A	182	3	0.071	1	0
1	A	183	3	0.038	1	0
1	A	184	3	0.188	0	0
1	A	185	2	0.255	0	0
1	A	186	1	0.071	0	0
1	A	187	3	0.155	0	-1
1	A	188	2	0.338	1	0
1	A	189	2	0.105	0	-1
1	A	190	1	0.188	0	0
1	A	191	3	0.338	1	0
1	A	192	3	0.438	0	0
1	A	193	2	0.038	0	-1
1	A	194	1	0.322	0	0
1	A	195	3	0.355	0	0
1	A	196	2	0.305	0	-1
1	A	197	1	0.305	0	0
1	A	198	2	0.421	1	0
1	A	199	3	0.455	0	0
1	A	200	2	0.322	0	0
1	A	201	1	0.305	0	-1
1	A	202	3	0.121	0	0
1	A	203	2	0.338	0	-1
1	A	204	1	0.255	0	0
1	A	205	3	0.305	0	0
1	A	206	2	0.338	0	-1
1	A	207	1	0.304	0	-1
1	A	208	3	0.255	0	-1
1	A	209	2	0.205	0	0
1	A	210	2	0.221	0	-1
1	A	211	1	0.189	0	0
1	A	212	1	0.155	0	0
1	A	213	1	0.205	0	0
1	A	214	3	0.322	1	0
1	A	215	3	0.272	0	0
1	A	216	3	0.055	1	0
1	A	217	3	0.305	1	-1
1	A	218	3	0.322	0	0
1	A	219	3	0.288	0	0
1	A	220	3	0.305	1	0
1	A	221	3	0.338	0	0
1	A	222	3	0.522	1	0
1	A	223	3	0.188	0	0
1	A	224	3	0.304	1	0
1	A	225	3	0.321	1	0
1	A	226	3	0.255	1	0
1	A	227	3	0.222	1	0
1	A	228	3	0.188	0	0
1	A	229	3	0.522	0	0
1	A	230	3	0.305	0	0
1	A	231	1	0.288	0	0
1	A	232	2	0.271	0	0
1	A	233	3	0.289	1	0
1	A	234	3	0.288	1	-1
1	A	235	3	0.288	0	-1
1	A	236	2	0.538	0	0
1	A	237	1	0.271	0	0
1	A	238	2	0.272	0	0
1	A	239	1	0.305	0	0
1	A	240	1	0.305	0	0
2	B	1	2	1.4821	1	0
2	B	2	1	2.735	0	0
2	B	3	3	1.5345	0	0
2	B	4	2	0.5327	0	0
2	B	5	1	0.6011	0	-1
2	B	6	3	1.2509	0	0
2	B	7	2	0.6348	0	0
2	B	8	2	0.5835	0	0
2	B	9	3	0.5001	0	0
2	B	10	1	0.5833	0	0
2	B	11	1	0.4675	0	0
2	B	12	2	0.6017	0	0
2	B	13	3	0.7006	0	0
2	B	14	2	0.4379	0	0
2	B	15	3	0.668	0	0
2	B	16	1	0.4508	0	0
2	B	17	2	0.3681	0	0
2	B	18	3	0.4514	0	-1
2	B	19	2	1.0203	0	0
2	B	20	1	0.5529	0	0
2	B	21	2	0.4169	0	-1
2	B	22	3	0.6028	0	0
2	B	23	1	0.6832	0	0
2	B	24	3	0.6144	0	0
2	B	25	1	0.5849	1	0
2	B	26	1	0.5138	1	0
2	B	27	1	0.5515	1	0
2	B	28	1	0.483	0	0
2	B	29	1	0.4329	0	0
2	B	30	2	0.6367	0	0
2	B	31	3	0.5166	0	-1
2	B	32	2	0.3972	1	0
2	B	33	2	0.3158	1	0
2	B	34	2	0.4172	0	0
2	B	35	2	0.4003	1	0
2	B	36	2	0.3843	0	0
2	B	37	2	0.4671	0	0
2	B	38	1	0.4335	1	0
2	B	39	1	1.0005	0	0
2	B	40	1	0.4007	0	-1
2	B	41	3	1.1041	0	0
2	B	42	3	0.5508	0	-1
2	B	43	2	0.4159	0	0
2	B	44	2	0.5835	1	0
2	B	45	2	0.451	0	0
2	B	46	2	0.4169	1	0
2	B	47	2	0.4348	0	-1
2	B	48	1	0.3683	0	0
2	B	49	1	0.3683	0	0
2	B	50	3	0.3991	0	0
2	B	51	3	0.4161	0	0
2	B	52	3	0.3705	0	0
2	B	53	2	0.3704	0	0
2	B	54	1	0.3323	0	0
2	B	55	2	0.4168	0	0
2	B	56	1	0.5519	1	0
2	B	57	1	0.4203	0	0
2	B	58	1	0.4172	0	0
2	B	59	1	0.3685	1	-1
2	B	60	1	0.4283	0	0
2	B	61	2	0.5659	0	0
2	B	62	3	0.3834	0	0
2	B	63	1	0.4328	0	0
2	B	64	2	0.3667	0	0
2	B	65	3	0.3992	0	0
2	B	66	1	0.4827	1	0
2	B	67	1	0.404	1	0
2	B	68	1	0.4174	0	0
2	B	69	1	0.3858	0	0
2	B	70	2	0.3376	0	0
2	B	71	2	0.8066	0	-1
2	B	72	3	0.3472	0	-1
2	B	73	1	0.3686	0	0
2	B	74	1	0.4827	1	0
2	B	75	1	0.3812	1	0
2	B	76	1	0.4009	0	0
2	B	77	1	0.3471	0	0
2	B	78	2	0.3525	0	0
2	B	79	2	0.3999	0	0
2	B	80	2	0.3837	1	0
2	B	81	2	0.3313	0	0
2	B	82	2	0.383	0	0
2	B	83	2	0.5336	0	0
2	B	84	2	1.1508	0	0
2	B	85	1	0.4832	0	0
2	B	86	3	0.3502	0	0
2	B	87	3	0.3511	0	0
2	B	88	3	0.3505	0	0
2	B	89	3	0.5355	0	0
2	B	90	3	0.3326	1	-1
2	B	91	2	0.9517	1	0
2	B	92	2	0.4118	1	0
2	B	93	2	0.4709	0	0
2	B	94	2	0.8682	1	0
2	B	95	2	0.4144	1	0
2	B	96	2	0.417	0	0
2	B	97	1	0.5329	0	0
2	B	98	2	0.3494	0	0
2	B	99	2	0.3179	1	0
2	B	100	2	0.3511	0	0
2	B	101	2	0.3878	1	0
2	B	102	2	0.5353	0	0
2	B	103	2	0.2999	0	0
2	B	104	2	0.8529	0	0
2	B	105	1	0.5701	0	0
2	B	106	1	0.3506	0	0
2	B	107	3	0.4314	0	0
2	B	108	3	0.6334	1	0
2	B	109	3	0.4	0	0
2	B	110	3	0.3519	1	0
2	B	111	3	0.4162	0	0
2	B	112	3	0.335	0	0
2	B	113	3	0.3197	0	0
2	B	114	2	0.3341	0	0
2	B	115	2	0.4008	0	0
2	B	116	2	0.4012	0	0
2	B	117	1	0.3993	0	0
2	B	118	1	0.6343	0	-1
2	B	119	2	0.3896	0	0
2	B	120	2	0.4336	0	0
2	B	121	2	1.0998	0	0
2	B	122	1	0.3512	0	0
2	B	123	3	0.3696	1	0
2	B	124	3	0.3993	0	0
2	B	125	3	0.4172	0	0
2	B	126	3	0.3328	0	0
2	B	127	2	0.3505	0	0
2	B	128	2	0.6833	0	-1
2	B	129	1	0.3676	1	0
2	B	130	1	0.3495	1	0
2	B	131	1	0.3334	0	-1
2	B	132	2	0.317	0	-1
2	B	133	3	0.3847	0	-1
2	B	134	2	0.451	0	0
2	B	135	2	0.353	0	0
2	B	136	1	0.3376	0	-1
2	B	137	3	0.3832	0	-1
2	B	138	2	0.319	0	0
2	B	139	2	0.5331	0	0
2	B	140	2	0.3826	0	0
2	B	141	2	0.5429	0	0
2	B	142	1	1.1072	0	0
2	B	143	1	0.5511	0	-1
2	B	144	3	0.3676	1	0
2	B	145	3	0.5025	0	0
