mu_sigma_a,mu_sigma_n,mu_eta,mu_kappa,mu_beta,mu_bias
0.9701857280604833,0.08520068980732974,0.20980167837051164,0.7938765526766562,9.98299943559353,0.0017089931697783414
0.9425473557545464,0.08760851025638557,0.20481854933566873,0.852599034823361,9.993769583789792,0.0003755637777419238
0.951095592017208,0.06941930933773145,0.18650674325705835,0.8577414598361053,9.99394795802367,0.0002176822680258148
0.9812180401751137,0.0931613029309409,0.2057818628437809,0.7688529757486416,9.980480176207061,0.0019271093531757078
0.9759495756172322,0.09332566756387653,0.20130504988103456,0.7843436846439014,9.977776646103129,0.0020366901039266462
0.9537303019785696,0.08424495947433241,0.22584768359196727,0.765001990423716,9.953769944401587,0.002650354230132882
0.8781867296619286,0.05370369572335157,0.16233223852419193,0.7306994869676635,9.774341068707495,0.0005994440901731584
0.8654361804447935,0.058754804853337395,0.1745573193523882,0.7567582723496254,9.797132298583493,0.0002824029758063325
0.855043295602571,0.08381685979407122,0.21586101430936971,0.787389669989192,9.738585517650513,0.00030092993244086434
0.9988962311122571,0.06125531863706572,0.26000834554619107,0.7905270862477565,9.986120880615008,0.0005606225714291823
0.9986111495686755,0.06715535096197019,0.2615865287652311,0.7889153762860953,9.981478415255527,0.0006527222479172326
0.998669402571745,0.0637359417823746,0.2614198356031539,0.7912761458231996,9.984215635043078,0.0005953195711309208
0.998669402571745,0.0637359417823746,0.2614198356031539,0.7912761458231996,9.984215635043078,0.0005953195711309208
0.998669402571745,0.0637359417823746,0.2614198356031539,0.7912761458231996,9.984215635043078,0.0005953195711309208
0.9989260994976077,0.0672090532744365,0.2673008518956625,0.807127888032362,9.984404919848048,0.0006944382626394199
0.9193553478024608,0.06698149121596728,0.22978153005665383,0.5084863786934698,8.602680165155354,0.004005926632440891
0.9839752830888875,0.06929966973334695,0.23567811173393188,0.6071307537824211,9.276273223967312,0.0030602016060294174
0.8184361410222256,0.07698089082896932,0.1938016688562397,0.6908876931351405,9.522230962677561,0.0008139737892433976
0.852812313101566,0.0803213300858348,0.18567932566784506,0.6968793547305412,9.183436683730719,0.0002982774987304332
0.8902468438913281,0.04918446960006085,0.17632084369449183,0.6472303050729523,9.629725340856506,0.0039706798467376275
