mu_sigma_a,mu_sigma_n,mu_eta,mu_kappa,mu_beta,mu_bias
0.6919421234690196,0.1682297548173025,0.1492480531014814,0.6067077294019204,4.992059950558363,0.022527168791611842
0.8603666602378583,0.0871607516479444,0.21712250996889584,0.6334851756926742,5.855142088949866,0.062155439037510946
0.5762214838413211,0.12714777758155058,0.10147457237973778,0.5352389885042004,5.995407923709718,0.038115354604574554
0.8195061833495118,0.18048256838104554,0.12545171213862644,0.5028836576339619,6.912881860707815,0.042979549973583435
0.878165753358234,0.2297061800518345,0.08135936200971611,0.43540931754080275,8.796446204666626,0.05365773080147591
0.6745254881875422,0.1474386723332298,0.09541666214307987,0.5174474881189814,6.367543913544267,0.03560831097840848
0.7072104165878454,0.15827636443620854,0.08299040020197385,0.5259500411172595,6.088034409552304,0.02070785209047286
0.8514372114193031,0.20738217204081405,0.0878340740541005,0.6418158833121004,4.750581774375689,0.005181050990399408
0.8033139673504921,0.195848602939078,0.03517389139732045,0.3818982109793733,5.089175030280942,0.011900810466669761
0.4962493901245194,0.21077267117853102,0.09814432581453705,0.7136560573609124,5.00904287806637,0.0016553431296898672
0.930086329864012,0.18151929746233877,0.0017093896777181604,0.272642951296469,5.277259473473894,0.009943756973426874
0.5964405474577581,0.15912760022937406,0.0989119238552435,0.600044674139403,4.463082515703162,0.0681902551848812
0.5741000153390493,0.10739265050715713,0.08609288951793974,0.6448866690127876,5.503527362991999,0.09685701273464839
0.8127210442708822,0.0664725443778501,0.09192941498126089,0.6323824302957322,5.6054492741300646,0.08782137452196094
0.8132093823211823,0.06432283974348744,0.10503140482687139,0.6645587927423064,5.085323121788603,0.09377117024576097
0.8287827759046912,0.11383340897609662,0.16091397655335676,0.6264317612024165,5.67571446710269,0.1034994329308428
0.5661235182207552,0.0813628479043849,0.02565465334009474,0.5558838489233721,3.819535527664188,0.02496104678916675
0.5633054411874657,0.09515897104539778,0.01961600234398276,0.5535940619010844,4.144979323807626,0.02222247364196579
0.9714855263113239,0.29758555657323077,0.09338519965456635,0.4676376037418731,7.506847834368152,0.03692773601044514
0.7405211033130722,0.08360424313571314,0.13932055397934856,0.3593892818710699,9.386555463598768,0.04995564302186387
