param,param_mean,group,hdi_low,hdi_high,param_std
mu_sigma_a,0.7858285247384258,A,-0.37192812674205006,0.5040029099004188,0.15497554273631786
mu_sigma_a,0.780302746809468,B,-0.37192812674205006,0.5040029099004188,0.16655052561818545
mu_sigma_n,0.108816391430244,A,-0.16229770416052292,0.18132251093444732,0.06621806134874238
mu_sigma_n,0.10475155158228806,B,-0.16229770416052292,0.18132251093444732,0.07047518029627321
mu_eta,0.005848934049577944,A,-0.9973452230967513,-0.1765030338150071,0.011020287942686578
mu_eta,0.6168035084405846,B,-0.9973452230967513,-0.1765030338150071,0.27817605953671914
mu_kappa,0.839263217306707,A,-0.3849029239127486,0.3367311714596609,0.14057570976863257
mu_kappa,0.8439289601586181,B,-0.3849029239127486,0.3367311714596609,0.12956762211301223
mu_beta,2.549530983796859,A,-1.5662872959567269,4.621028323994088,1.4200454317591789
mu_beta,1.947555949803821,B,-1.5662872959567269,4.621028323994088,0.6871497073183598
mu_bias,0.17742731957816485,A,-0.3385818195279517,0.22954015094535019,0.11304107923425692
mu_bias,0.26305710459632053,B,-0.3385818195279517,0.22954015094535019,0.12475179795483224
