,parameter,significant_percent
0,mu_Arew,18.367346938775512
1,mu_Apun,36.734693877551024
2,mu_R,22.448979591836736
3,mu_P,20.408163265306122
4,mu_xi,73.46938775510205
5,mu_d,63.26530612244898
