param,param_mean,group,hdi_low,hdi_high,param_std
mu_xi,0.01810278737433723,A,-0.0825037284076775,0.0564900145475161,0.017597159355839536
mu_xi,0.027057582179089407,B,-0.0825037284076775,0.0564900145475161,0.04038499976574315
mu_ep,0.6369827431882442,A,-0.2745416755630724,0.8141818561050626,0.1749344940693606
mu_ep,0.40978935904672953,B,-0.2745416755630724,0.8141818561050626,0.278939859127692
mu_b,-4.038279938382284,A,-1.0683649230094066,22.477635730080724,3.535316313281638
mu_b,-12.426842311499394,B,-1.0683649230094066,22.477635730080724,6.03318792709551
mu_pi,0.05012365650836825,A,-2.164181021068284,2.9554055735037883,1.1165401732878524
mu_pi,0.07980944568966394,B,-2.164181021068284,2.9554055735037883,0.7204925587797048
mu_rho,0.38554903712554084,A,-4.428185265204961,0.17354037730722827,0.29866096797273567
mu_rho,2.0625248159745957,B,-4.428185265204961,0.17354037730722827,1.7443238638449767
