mu_xi,mu_ep,mu_b,mu_pi,mu_rho
0.004721462895636924,0.7303484592134023,-10.049784228021137,-0.11312659967554818,4.389762002950949
0.01882833386014931,0.033542888851283204,-9.315695355778123,1.3301899420281653,0.9289411412805973
0.014966432797521034,0.7805269307911217,-6.520670759862522,-0.04798618119676572,5.732317067411047
0.00135133375124926,0.5450923267268077,-13.450925693674284,0.8338800714047563,0.5616647619775328
0.008698786360377138,0.5020620376751613,-5.146038289901375,0.48374080369831385,2.3042037455277473
0.0038281216499731533,0.9370293266392994,-15.39912254149476,-0.6062046982543603,0.9746240872530034
0.0035824805474573423,0.20542219208481777,-18.765064365488616,-0.09657068799519275,0.19627104600109277
0.00021509895102028804,0.5118531995074173,-11.236889822482407,0.19940665003076696,1.4698051963742158
0.0032848205528145102,0.49460120859727996,-14.171093522443973,-0.49730416123095467,4.091470721979408
0.03891623863440774,0.2845479142363414,-11.999246607229932,-0.9387840907534082,6.0047894909555435
0.007224121820221308,0.10895139760974909,-24.43083076395893,-0.7087113084810635,0.3678347515650892
0.00013927324739501407,0.004935066116536954,-7.616596852814804,-0.27142192553557976,0.6958554180170076
0.001761927204654494,0.2559799088867153,-12.723578927405315,-0.0727195161380403,1.453397774023418
0.04750434382088734,0.3750647766901051,-11.562500340674134,-0.7048220375966473,4.25548590495276
0.019434218398322697,0.0061366319411651,-10.068218225550332,-0.21680766148478448,0.33503480249143824
5.239766132291519e-06,0.19683651427214674,-10.497406938136344,-0.3218473302059582,0.3567770300544142
0.012719691457177214,0.667481773013767,-7.173092811807619,0.3477065002355752,0.5523979637949196
0.07950782845186713,0.30847901600633026,-7.432265720391506,-0.24668500385441983,4.18668198337471
0.04945018968674126,0.17579527830809016,-20.521648246379005,0.28439800860141606,0.9769135091624382
0.0023182956801810306,0.8115492327530958,-10.24321509970242,1.1428945663383727,0.7626750579608144
0.015403506213953876,0.025098864460148376,-8.415015936018005,0.5286313980956463,0.8565467153662553
0.19668725105775897,0.5511760162817196,-6.021956580228871,-0.15892413072846046,3.1812900744266086
0.09775183888659433,0.08152518357070819,-19.473581765010625,-0.19068232923698894,5.5915923989098
0.05115574384432186,0.2164073745814319,-8.945654327440723,-1.256628604938156,1.352733310678431
0.010673526418868295,0.0336957692039122,-7.308035742384525,0.8011198439702437,0.8219322670871305
0.1450000183889386,0.6384431992592653,-7.441755589636653,-0.760251667960114,3.155736582737783
0.004795707754971581,0.9283143279729945,-8.236588612958897,0.7451472867935216,1.3644704929898082
0.0029654964031088993,0.5087868262602898,-18.68102416262851,-1.7985226119944524,0.9696552696606835
0.008134372630842584,0.15178935298886487,-11.531390406938332,1.5002786658336642,0.2535322135692122
5.3318988782838254e-05,0.40105651349378524,-20.297387486884045,0.958910278753464,0.5012672290935765
0.011037433295503449,0.17011876087932173,-9.39900329186307,0.4614887601595182,3.170222025303464
0.028780157630614787,0.4321704737472859,-12.521302865529263,-0.5567622884712335,1.009996093049541
0.017249710672179393,0.357036257240957,-7.897858614612418,0.21539027412108241,4.124835371902918
0.00247414219107554,0.8907241945890834,-21.759391883561918,0.5610920746192815,1.3333663096335848
0.010337572624212041,0.28711342008593066,-12.298714941076076,0.7249183348483554,4.224151980019329
0.012450954759201674,0.5696734983396627,-17.254488375395898,0.07092906425943019,2.2803720606042126
0.04658819337706024,0.6013429868265964,-21.740735130526737,-0.029916180827414846,0.258640770164198
0.03544280841347675,0.0899949031419194,4.425229240252303,-0.4375481186125554,0.6644711436748623
0.05749042141504868,0.777818964143898,-19.21097178809495,1.3220461298569617,4.554335340296551
0.00937287266287749,0.7430513948807732,-24.740179086241014,0.7124363091101218,2.234941532707745
