subjID	trial	cue	choice	outcome
0	0	2	0	-1
0	1	4	1	0
0	2	2	1	0
0	3	2	1	0
0	4	4	1	0
0	5	4	1	0
0	6	2	1	0
0	7	4	1	0
0	8	2	1	0
0	9	6	1	0
0	10	6	1	0
0	11	4	1	0
0	12	6	0	0
0	13	2	0	-1
0	14	4	1	0
0	15	2	1	0
0	16	4	1	0
0	17	2	1	0
0	18	2	1	0
0	19	4	1	0
0	20	2	1	0
0	21	2	1	0
0	22	2	1	0
0	23	3	1	0
0	24	4	1	0
0	25	2	1	0
0	26	5	1	0
0	27	4	1	0
0	28	4	1	0
0	29	4	1	0
0	30	6	1	0
0	31	4	1	0
0	32	2	1	0
0	33	6	0	0
0	34	7	0	0
0	35	4	1	0
0	36	6	0	0
0	37	3	1	0
0	38	4	1	0
0	39	4	1	0
0	40	4	1	0
0	41	6	0	0
0	42	4	1	0
0	43	7	0	0
0	44	4	1	0
0	45	2	1	0
0	46	3	1	0
0	47	6	0	0
0	48	4	1	0
0	49	1	1	0
0	50	2	1	0
0	51	2	1	0
0	52	7	1	0
0	53	7	1	0
0	54	6	1	0
0	55	4	1	0
0	56	6	1	0
0	57	2	1	0
0	58	2	1	0
0	59	4	1	0
0	60	3	1	0
0	61	1	1	0
0	62	7	1	0
0	63	4	1	0
0	64	4	1	0
0	65	3	1	0
0	66	2	1	0
0	67	4	1	0
0	68	6	1	0
0	69	6	1	0
0	70	4	1	0
0	71	1	1	0
0	72	6	1	0
0	73	2	1	0
0	74	4	1	0
0	75	1	1	0
0	76	5	1	0
0	77	4	1	0
0	78	4	1	0
0	79	4	1	0
0	80	3	0	0
0	81	4	1	0
0	82	7	1	0
0	83	2	1	0
0	84	2	1	0
0	85	1	1	0
0	86	6	1	0
0	87	5	0	0
0	88	2	1	0
0	89	4	1	0
0	90	5	1	0
0	91	5	1	0
0	92	2	1	0
0	93	6	1	0
0	94	6	1	0
0	95	2	1	0
0	96	6	1	0
0	97	6	1	0
0	98	6	1	0
0	99	4	1	0
0	100	2	1	0
0	101	6	1	0
0	102	4	1	0
0	103	3	1	0
0	104	2	1	0
0	105	6	1	0
0	106	4	1	0
0	107	4	1	0
0	108	4	1	0
0	109	6	1	0
0	110	4	1	0
0	111	2	0	-1
0	112	4	0	-1
0	113	4	1	0
0	114	4	1	0
0	115	6	1	0
0	116	2	1	0
0	117	2	1	0
0	118	2	1	0
0	119	2	1	0
0	120	1	1	0
0	121	4	1	0
0	122	2	1	0
0	123	2	1	0
0	124	2	1	0
0	125	2	1	0
0	126	2	1	0
0	127	2	1	0
0	128	4	1	0
0	129	4	1	0
0	130	6	1	0
0	131	7	1	0
0	132	1	1	0
0	133	2	1	0
0	134	5	1	0
0	135	2	1	0
0	136	6	1	0
0	137	2	1	0
0	138	6	1	0
0	139	5	1	0
0	140	6	1	0
0	141	1	1	0
0	142	2	1	0
0	143	6	1	0
0	144	2	1	0
0	145	1	1	0
0	146	3	1	0
0	147	4	1	0
0	148	2	1	0
0	149	2	1	0
0	150	1	1	0
0	151	4	1	0
0	152	5	1	0
0	153	2	1	0
0	154	6	1	0
0	155	4	1	0
0	156	4	1	0
0	157	2	1	0
0	158	4	1	0
0	159	7	1	0
1	0	2	0	-1
1	1	2	1	0
1	2	2	1	0
1	3	3	1	0
1	4	2	1	0
1	5	2	1	0
1	6	2	0	-1
1	7	4	1	0
1	8	2	1	0
1	9	6	1	0
1	10	2	1	0
1	11	4	1	0
1	12	4	1	0
1	13	2	1	0
1	14	3	1	0
1	15	2	1	0
1	16	2	1	0
1	17	2	1	0
1	18	6	0	0
1	19	5	0	0
1	20	2	1	0
1	21	6	0	0
1	22	4	1	0
1	23	4	1	0
1	24	4	1	0
1	25	3	0	0
1	26	6	0	0
1	27	6	0	0
1	28	6	0	0
1	29	7	0	0
1	30	1	1	0
1	31	4	1	0
1	32	6	0	0
1	33	2	1	0
1	34	2	1	0
1	35	4	1	0
1	36	5	1	0
1	37	3	1	0
1	38	2	1	0
1	39	6	1	0
1	40	1	1	0
1	41	6	1	0
1	42	4	1	0
1	43	4	1	0
1	44	6	1	0
1	45	2	1	0
1	46	6	0	0
1	47	6	0	0
1	48	4	1	0
1	49	2	1	0
1	50	2	1	0
1	51	2	1	0
1	52	6	1	0
1	53	6	1	0
1	54	3	1	0
1	55	2	1	0
1	56	3	1	0
1	57	7	1	0
1	58	2	1	0
1	59	2	1	0
1	60	6	1	0
1	61	2	1	0
1	62	2	1	0
1	63	6	1	0
1	64	2	1	0
1	65	4	1	0
1	66	4	1	0
1	67	2	1	0
1	68	2	1	0
1	69	2	1	0
1	70	6	1	0
1	71	1	1	0
1	72	2	1	0
1	73	3	1	0
1	74	2	1	0
1	75	4	1	0
1	76	4	1	0
1	77	4	1	0
1	78	2	1	0
1	79	4	1	0
1	80	6	1	0
1	81	6	1	0
1	82	4	1	0
1	83	6	1	0
